"module_name","exercise_name","exercise_url"
"Triceps","Bench Anchored Overhead Cable Triceps Extension","https://www.modernmeathead.com/products/exercise-library/categories/2156454618/posts/2184875108"
"Triceps","1-Arm Cable Triceps Press","https://www.modernmeathead.com/products/exercise-library/categories/2156454618/posts/2182542164"
"Triceps","Anchored DB Triceps Kickback","https://www.modernmeathead.com/products/exercise-library/categories/2156454618/posts/2183906739"
"Calves","DB Seated Calf Raise 2-leg","https://www.modernmeathead.com/products/exercise-library/categories/2156454496/posts/2185494942"
"Calves","Leg Press Calf Raise","https://www.modernmeathead.com/products/exercise-library/categories/2156454496/posts/2182541579"
"Calves","Seated Calf Raise 2-leg","https://www.modernmeathead.com/products/exercise-library/categories/2156454496/posts/2182541580"
"Calves","DB Seated Calf Raise 1-leg","https://www.modernmeathead.com/products/exercise-library/categories/2156454496/posts/2185494944"
"Calves","Single Leg Seated Calf Raise","https://www.modernmeathead.com/products/exercise-library/categories/2156454496/posts/2184565435"
"Calves","Barbell Hack Calf Raise","https://www.modernmeathead.com/products/exercise-library/categories/2156454496/posts/2184875109"
"Calves","Smith Standing Calf Raise 1-leg","https://www.modernmeathead.com/products/exercise-library/categories/2156454496/posts/2182541581"
"Calves","Standing Calf Raise Machine","https://www.modernmeathead.com/products/exercise-library/categories/2156454496/posts/2182541582"
"Calves","DB Standing Calf Raise 1-leg","https://www.modernmeathead.com/products/exercise-library/categories/2156454496/posts/2185494948"
"Calves","Hack Squat Calf Raise","https://www.modernmeathead.com/products/exercise-library/categories/2156454496/posts/2186513099"
"Erectors","GHD Back Extensions","https://www.modernmeathead.com/products/exercise-library/categories/2156454510/posts/2183947293"
"Erectors","Erector HyperExtensions","https://www.modernmeathead.com/products/exercise-library/categories/2156454510/posts/2182541596"
"Erectors","Rotated Erector HyperExtensions","https://www.modernmeathead.com/products/exercise-library/categories/2156454510/posts/2182541597"
"Erectors","Barbell Jefferson Curl","https://www.modernmeathead.com/products/exercise-library/categories/2156454510/posts/2186959837"
"Erectors","Chest Supported Spine Extensions","https://www.modernmeathead.com/products/exercise-library/categories/2156454510/posts/2184963448"
"Erectors","Smith Spine Curl","https://www.modernmeathead.com/products/exercise-library/categories/2156454510/posts/2182541598"
"Forearms","Cable 1-Arm Finger Curls","https://www.modernmeathead.com/products/exercise-library/categories/2156454519/posts/2182762254"
"Forearms","Cable 2-Arm Finger Curls","https://www.modernmeathead.com/products/exercise-library/categories/2156454519/posts/2182762251"
"Forearms","Dual Handle Ulnar Deviation","https://www.modernmeathead.com/products/exercise-library/categories/2156454519/posts/2186064051"
"Forearms","1-Arm Cable Forearm Curl","https://www.modernmeathead.com/products/exercise-library/categories/2156454519/posts/2182541607"
"Forearms","Single Cable Pronation","https://www.modernmeathead.com/products/exercise-library/categories/2156454519/posts/2186064052"
"Forearms","1-Arm Cable Forearm Extension","https://www.modernmeathead.com/products/exercise-library/categories/2156454519/posts/2182541608"
"Forearms","1-Arm DB Wrist Curl","https://www.modernmeathead.com/products/exercise-library/categories/2156454519/posts/2182541609"
"Forearms","Dual Handle Supination","https://www.modernmeathead.com/products/exercise-library/categories/2156454519/posts/2186064054"
"Forearms","1-Arm DB Wrist Extension","https://www.modernmeathead.com/products/exercise-library/categories/2156454519/posts/2182541610"
"Forearms","2-Arm Straight Bar Cable Forearm Curl","https://www.modernmeathead.com/products/exercise-library/categories/2156454519/posts/2182541611"
"Front Delts","1-Arm Cable Front Delt Raise","https://www.modernmeathead.com/products/exercise-library/categories/2156454530/posts/2182541649"
"Front Delts","Cable Front Delt Press","https://www.modernmeathead.com/products/exercise-library/categories/2156454530/posts/2183906737"
"Front Delts","2-Arm Cable Front Delt Raise","https://www.modernmeathead.com/products/exercise-library/categories/2156454530/posts/2183906738"
